               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091788,            0.077923,            0.062089,            0.068685,             0.18903,            0.097868,            0.034555,            0.040655,            0.029652,            0.036975,            0.070134,           0.0033185,           0.0033185
                   1,            0.066024,            0.072581,            0.055967,              0.2196,               0.505,             0.17968,            0.056318,             0.03281,            0.019927,            0.032683,            0.040024,            0.006542,            0.006542
                   2,            0.062556,            0.062593,            0.053427,            0.080316,             0.44843,             0.16986,             0.06423,            0.032552,            0.017695,            0.031627,           0.0098044,           0.0096556,           0.0096556
                   3,            0.059873,            0.056092,            0.051827,             0.21476,             0.43274,             0.29875,             0.16185,             0.03177,            0.015821,            0.031015,            0.009505,            0.009505,            0.009505
                   4,            0.054144,            0.056354,            0.050611,             0.31734,             0.70654,             0.41311,             0.25504,            0.018264,            0.014966,            0.029694,            0.009505,            0.009505,            0.009505
                   5,            0.046212,            0.052658,            0.047897,             0.42084,              0.6015,             0.56657,             0.35046,            0.024619,            0.015656,            0.028563,             0.00934,             0.00934,             0.00934
                   6,            0.042569,            0.053305,            0.046035,             0.44499,             0.69901,             0.61061,             0.34354,            0.019104,            0.014041,            0.026541,            0.009175,            0.009175,            0.009175
                   7,             0.04011,            0.053206,            0.042128,              0.5713,             0.68579,             0.67465,             0.45659,            0.016353,             0.01406,            0.025058,             0.00901,             0.00901,             0.00901
                   8,            0.039468,            0.051303,            0.038795,             0.61197,             0.70728,             0.73947,              0.4928,            0.018452,            0.014153,             0.02269,            0.008845,            0.008845,            0.008845
                   9,            0.038168,            0.052757,            0.035806,             0.62302,             0.72473,             0.76668,             0.50218,            0.020466,            0.014248,            0.020823,             0.00868,             0.00868,             0.00868
                  10,            0.038253,            0.049756,            0.031586,             0.58998,             0.73588,              0.7627,             0.46314,            0.018878,            0.013738,            0.019301,            0.008515,            0.008515,            0.008515
                  11,            0.037797,            0.047641,            0.028393,             0.67347,             0.81997,             0.83021,             0.54414,            0.017075,            0.013569,            0.017913,             0.00835,             0.00835,             0.00835
                  12,            0.035982,            0.049873,            0.026455,             0.69323,             0.82114,             0.85628,             0.57503,            0.018186,             0.01302,            0.014777,            0.008185,            0.008185,            0.008185
                  13,             0.03571,            0.047843,             0.02302,             0.71004,             0.85263,             0.86531,             0.55852,            0.021092,            0.013716,            0.013642,             0.00802,             0.00802,             0.00802
                  14,            0.036004,             0.04824,            0.020085,              0.8208,              0.9049,             0.90795,             0.65755,            0.016195,            0.014167,             0.01194,            0.007855,            0.007855,            0.007855
                  15,            0.035021,            0.046547,            0.018654,             0.77835,             0.94996,             0.92968,             0.66787,            0.015294,            0.013893,           0.0096053,             0.00769,             0.00769,             0.00769
                  16,            0.034453,            0.048983,             0.01649,             0.87396,             0.93164,             0.94705,              0.7181,            0.014249,            0.013368,           0.0081453,            0.007525,            0.007525,            0.007525
                  17,            0.034319,            0.048564,            0.014977,             0.87258,             0.93059,             0.96352,             0.67161,            0.016864,            0.013828,           0.0069503,             0.00736,             0.00736,             0.00736
                  18,            0.033869,            0.048136,             0.01451,             0.94255,             0.95603,             0.99089,             0.74189,            0.014463,            0.012945,           0.0063646,            0.007195,            0.007195,            0.007195
                  19,            0.032314,            0.047369,            0.012373,             0.93767,             0.95445,             0.98229,             0.70231,            0.016625,             0.01376,           0.0049879,             0.00703,             0.00703,             0.00703
                  20,            0.032382,            0.043523,            0.012243,             0.93011,             0.98051,             0.99023,             0.69971,             0.01582,            0.013498,           0.0047454,            0.006865,            0.006865,            0.006865
                  21,            0.031639,            0.044643,            0.011344,             0.92964,              0.9729,             0.97277,             0.73802,            0.013423,            0.013364,           0.0039077,              0.0067,              0.0067,              0.0067
                  22,            0.030897,             0.04717,            0.011324,             0.92392,             0.95269,             0.97573,              0.7424,            0.014115,             0.01331,           0.0067394,            0.006535,            0.006535,            0.006535
                  23,            0.030026,            0.044285,            0.011705,             0.95071,             0.96803,              0.9719,             0.76512,            0.016249,              0.0132,           0.0046115,             0.00637,             0.00637,             0.00637
                  24,            0.029786,            0.046677,            0.010639,             0.94734,             0.96448,             0.98001,               0.755,            0.014333,            0.013065,           0.0040068,            0.006205,            0.006205,            0.006205
                  25,            0.030786,            0.046638,            0.010434,             0.93338,             0.94787,              0.9665,             0.71121,            0.013723,            0.013404,           0.0036126,             0.00604,             0.00604,             0.00604
                  26,            0.030286,            0.046419,           0.0095587,             0.95772,             0.98026,             0.99233,             0.78666,            0.012536,            0.012864,           0.0033724,            0.005875,            0.005875,            0.005875
                  27,            0.029606,            0.045084,            0.009853,              0.9491,             0.96933,             0.98565,             0.77718,            0.011841,            0.013099,           0.0042015,             0.00571,             0.00571,             0.00571
                  28,            0.029044,            0.042106,           0.0096185,             0.93953,             0.97204,             0.98367,              0.7672,            0.013597,            0.012821,           0.0029933,            0.005545,            0.005545,            0.005545
                  29,            0.029371,            0.046724,           0.0084543,             0.92026,             0.95501,             0.98652,             0.78832,            0.012214,            0.012419,           0.0045495,             0.00538,             0.00538,             0.00538
                  30,            0.028649,            0.044356,           0.0083309,             0.93097,              0.9772,             0.98722,             0.79629,            0.011202,            0.012196,           0.0034984,            0.005215,            0.005215,            0.005215
                  31,            0.029204,            0.046496,           0.0082008,             0.93909,             0.96738,             0.98959,             0.79627,            0.010844,            0.012551,           0.0042051,             0.00505,             0.00505,             0.00505
